title,main_info1,main_info2,main_info3
В августе 44-го,"2001, 118 мин.",Россия • боевик  Режиссёр: Михаил Пташук,"В ролях: Евгений Миронов, Владислав Галкин"
Крестный отец 2,"The Godfather: Part II, 1974, 202 мин.",США • драма  Режиссёр: Фрэнсис Форд Коппола,"В ролях: Аль Пачино, Роберт Де Ниро"
На войне как на войне,"1968, 90 мин.",СССР • военный  Режиссёр: Виктор Трегубович,"В ролях: Михаил Кононов, Олег Борисов"
Человек-паук: Через вселенные,"Spider-Man: Into the Spider-Verse, 2018, 117 мин.",Канада • мультфильм  Режиссёр: Боб Персичетти,"В ролях: Шамеик Мур, Джейк Джонсон"
Вторая жизнь Уве,"En man som heter Ove, 2015, 116 мин.",Швеция • драма  Режиссёр: Ханнес Холм,"В ролях: Рольф Лассгор, Бахар Парс"
Корпорация монстров,"Monsters, Inc., 2001, 92 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Джон Гудман, Билли Кристал"
Двухсотлетний человек,"Bicentennial Man, 1999, 126 мин.",Германия • фантастика  Режиссёр: Крис Коламбус,"В ролях: Робин Уильямс, Эмбет Дэвидц"
Назад в будущее 2,"Back to the Future Part II, 1989, 108 мин.",США • фантастика  Режиссёр: Роберт Земекис,"В ролях: Майкл Дж. Фокс, Кристофер Ллойд"
Брестская крепость,"2010, 131 мин.",Беларусь • военный  Режиссёр: Александр Котт,"В ролях: Алексей Копашов, Андрей Мерзликин"
Хоббит: Пустошь Смауга,"The Hobbit: The Desolation of Smaug, 2013, 161 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Мартин Фриман, Ричард Армитедж"
Твоё имя,"Kimi no na wa., 2016, 110 мин.",Япония • аниме  Режиссёр: Макото Синкай,"В ролях: Рюносукэ Камики, Монэ Камисираиси"
Хранители снов,"Rise of the Guardians, 2012, 97 мин.",США • мультфильм  Режиссёр: Питер Рэмзи,"В ролях: Крис Пайн, Алек Болдуин"
